v1.5 ID,Indicator,v1.5 pillar,v1.5 method,v1.5 core gate,Egypt evidence class,Egypt level,Bhutan level,Bhutan confidence,v1.6 disposition,Merged into,v1.6 pillar,v1.6 layer,Use-case areas,Prerequisite,DAR steps served,Rationale
1.1,Agriculture value added per worker (constant 2015 USD),C0,Context profile (not aggregated),,Measured,,2,High,KEEP,,A1: Agriculture & need,Foundation,NEED,,S1A;S3C,Sector baseline — now scored; sets need/impact side of Step 2B; yield & food-production are Playbook example KPIs
1.2,Cereal yield (kg per hectare),C0,Context profile (not aggregated),,Measured,,3,High,KEEP,,A1: Agriculture & need,Foundation,NEED,,S1A;S3C,Sector baseline — now scored; sets need/impact side of Step 2B; yield & food-production are Playbook example KPIs
1.3,Employment in agriculture (% of total employment),C0,Context profile (not aggregated),,Measured,,2,High,KEEP,,A1: Agriculture & need,Foundation,NEED,,S1A;S3C,Sector baseline — now scored; sets need/impact side of Step 2B; yield & food-production are Playbook example KPIs
1.4,Food production index (2014-2016 = 100),C0,Context profile (not aggregated),,Measured,,1,High,KEEP,,A1: Agriculture & need,Foundation,NEED,,S1A;S3C,Sector baseline — now scored; sets need/impact side of Step 2B; yield & food-production are Playbook example KPIs
1.5,Post-harvest loss rate (%),C0,Context profile (not aggregated),,Documented,,1,Medium,KEEP,,A1: Agriculture & need,Foundation,NEED,,S1A;S2B-impact;S3C,"Binding agricultural constraints digital must answer (PHL, market access, credit, CSA practice)"
1.6,Smallholder access to formal markets (%),C0,Context profile (not aggregated),,Documented,,1,Medium,KEEP,,A1: Agriculture & need,Foundation,NEED;MKT,,S1A;S2B-impact;S3C,"Binding agricultural constraints digital must answer (PHL, market access, credit, CSA practice) Bears on MKT as well as need: the row is mapped into the market-linkage column, so it enters that column's mean."
1.7,Agricultural credit access (% of farmers),C0,Context profile (not aggregated),,Documented,,1,Medium,KEEP,,A1: Agriculture & need,Foundation,NEED;FIN,,S1A;S2B-impact;S3C,"Binding agricultural constraints digital must answer (PHL, market access, credit, CSA practice) Bears on FIN as well as need: the row is mapped into the financial-services column, so it enters that column's mean."
1.8,Farmers using climate-smart/sustainable practices (%),C0,Context profile (not aggregated),,Judged,,4,Medium,KEEP,,A1: Agriculture & need,Foundation,NEED;ADV,,S1A;S2B-impact;S3C,"Binding agricultural constraints digital must answer (PHL, market access, credit, CSA practice) Bears on ADV as well as need: the row is mapped into the advisory column, so it enters that column's mean."
1.9,National innovation/extension programs with digital component,C4,Qualitative (capability),,Judged,4,2,Medium,MERGED,5.5,C4: People & institutions,,,,,"Extension cluster concordant (Bh 2/2/3); programs=presence, %trained=quality, ratio=scale rungs of one ladder; fixes the unscoreable prose ratio (handoff Q6)"
2.1,Rural population covered by at least 3G (%),C1,Quantitative threshold,YES,Measured,5,4,High,KEEP,,C1: Connectivity & access,Foundation,ALL,UNIVERSAL,S1C;S2B,"Universal gate. Absorbs 2.2: Eg L5/L5, Bh L4/L4 — moves together; 4G kept as sub-reading"
2.2,Rural population covered by at least 4G (%),C1,Quantitative threshold,,Measured,5,4,High,MERGED,2.1,C1: Connectivity & access,,,,,"Eg L5/L5, Bh L4/L4 with 2.1 — same signal; 4G recorded as sub-reading of coverage quality"
